Variable / Field Name,Section Header,Form Name,Form Display Name,Form Note,headerImage,headerImageSize,Field Type,multipleChoice,Allow,Field Label,"Choices, Calculations, OR Slider Labels",minVal,maxVal,Branching Logic (Show field only if...)
bad_validation_details,,dbt_daily,Daily Diary Card,"Record your emotions, target behaviors, and DBT skills used for today",,,text,,,From whom or where did you seek vadlidation?,,,,[bad_validation] = 1
drug_alcohol,,dbt_daily,Daily Diary Card,"Record your emotions, target behaviors, and DBT skills used for today",,,radio,,autoAdvance,Did you use drugs or alcohol today?,"1, Yes | 0, No",,,
drug_alcohol_details,,dbt_daily,Daily Diary Card,"Record your emotions, target behaviors, and DBT skills used for today",,,text,,,What did you use and how much?,,,,[drug_alcohol] = 1
conflict,,dbt_daily,Daily Diary Card,"Record your emotions, target behaviors, and DBT skills used for today",conflict.png,250x250,radio,1,,"Did you have conflicts with others today, and if yes, with whom?","0, No conflicts | 1, Mom | 2, Dad | 3, Siblings | 4, Others",,,
conflict_details,,dbt_daily,Daily Diary Card,"Record your emotions, target behaviors, and DBT skills used for today",conflict.png,250x250,text,,,What happened?,,,,[conflict].includes(1) or [conflict].includes(2) or [conflict].includes(3) or [conflict].includes(4)
dbt_skills_instructions,DBT Skills,dbt_daily,Daily Diary Card,"Record your emotions, target behaviors, and DBT skills used for today",DBTSkills.png,250x250,markdown-message,,,"In this section, you'll be asked about the DBT skills you used today. If you did not use any of the skills listed, you can tap the ""Skip"" button.",,,,
mindfulness_skills,,dbt_daily,Daily Diary Card,"Record your emotions, target behaviors, and DBT skills used for today",mindfulness.png,250x250,radio,1,dontKnow,Please check the **Mindfulness** skills you used today:,"1, Wise Mind, wisemind.png | 2, Observe: Just notice without reacting, observe.png | 3, Describe: Put words on/label emotion, describe.png | 4, Participate: Enter into the experience, participate.png | 5, Nonjudgmental Stance, nonjudgmental.png | 6, One-mindfully in the moment, moment.png | 7, Effectiveness: Focus on what works, effectiveness.png",,,
interpersonal_skills,,dbt_daily,Daily Diary Card,"Record your emotions, target behaviors, and DBT skills used for today",interpersonalSkills.png,250x250,radio,1,dontKnow,Please check the **Interpersonal Effectiveness** skills you used today:,"1, Objective Effectiveness (DEAR MAN), DEARMAN.png | 2, Relationship Effectiveness (GIVE), GIVE.png | 3, Self-respect Effectivness (FAST), FAST.png | 4, Dialectics, dialectics.png",,,
emotion_regulation,,dbt_daily,Daily Diary Card,"Record your emotions, target behaviors, and DBT skills used for today",emotionRegulation.png,250x250,radio,1,dontKnow,Please check the **Emotion Regulation** skills you used today:,"1, Reduced Vulnerability (PLEASE), PLEASE.png | 2, Accumulate Positive Experiences, accumulatePositive.png | 3, Build Mastery, mastery.png | 4, Cope Ahead, copeAhead.png | 5, Check the Facts, checkFacts.png | 6, Problem Solve, problemSolve.png | 7, Opposite Action, oppositeAction.png",,,
distress_tolerance,,dbt_daily,Daily Diary Card,"Record your emotions, target behaviors, and DBT skills used for today",distressTolerance.png,250x250,radio,1,dontKnow,Please check the **Distress Tolerance** skills you used today:,"1, STOP, STOP.png | 2, Distract (Wise Mind ACCEPTS), distract.png | 3, Self-soothe, selfSoothe.png | 4, TIPP, TIPP.png | 5, IMPROVE the Moment, IMPROVE.png | 6, Pros and Cons, proCons.png | 7, Radical Acceptance, radicalAcceptance.png",,,
notes,,dbt_daily,Daily Diary Card,"Record your emotions, target behaviors, and DBT skills used for today",importantEvents.png,250x250,text,,dontKnow,Please leave notes about your day:,,,,
thank_you,,dbt_daily,Daily Diary Card,"Record your emotions, target behaviors, and DBT skills used for today.",DBT.png,250x250,markdown-message,,,Thank you for filling out your DBT Daily Diary Card. Tapping the **Done** button will exit the questionnaire. See you again tomorrow!,,,,
